REVIEWER EXPERIMENT SUITE — test outcomes never trigger interventions
36 completed conditions; 36 started
pythia410m/registry/seed11/loss_history: 128 updates; A 0.00072 -> 0.75969; B 0.79419 -> 0.06596; actions=16; complete=True
pythia410m/registry/seed11/matched_fresh: 16 updates; A 0.00072 -> 0.31651; B 0.79419 -> 0.33334; actions=0; complete=True
pythia410m/registry/seed11/matched_preserve: 16 updates; A 0.00072 -> 0.36965; B 0.79419 -> 0.34347; actions=0; complete=True
pythia410m/registry/seed11/matched_reset_both: 16 updates; A 0.00072 -> 0.34927; B 0.79419 -> 0.32700; actions=0; complete=True
pythia410m/registry/seed11/matched_reset_m: 16 updates; A 0.00072 -> 0.34032; B 0.79419 -> 0.30012; actions=0; complete=True
pythia410m/registry/seed11/matched_reset_v: 16 updates; A 0.00072 -> 0.47290; B 0.79419 -> 0.41234; actions=0; complete=True
pythia410m/registry/seed11/natural: 128 updates; A 0.00072 -> 0.85730; B 0.79419 -> 0.02324; actions=0; complete=True
pythia410m/registry/seed11/preserve_lr0.25: 128 updates; A 0.00072 -> 0.80968; B 0.79419 -> 0.02295; actions=0; complete=True
pythia410m/registry/seed11/preserve_lr2.0: 128 updates; A 0.00072 -> 0.99313; B 0.79419 -> 0.03589; actions=0; complete=True
pythia410m/registry/seed11/projection: 128 updates; A 0.00072 -> 0.72346; B 0.79419 -> 0.13075; actions=16; complete=True
pythia410m/registry/seed11/random_loss_history: 128 updates; A 0.00072 -> 0.84221; B 0.79419 -> 0.02586; actions=16; complete=True
pythia410m/registry/seed11/random_projection: 128 updates; A 0.00072 -> 0.84994; B 0.79419 -> 0.19050; actions=16; complete=True
pythia410m/registry/seed11/reset_both_lr0.25: 128 updates; A 0.00072 -> 0.75480; B 0.79419 -> 0.09030; actions=0; complete=True
pythia410m/registry/seed11/reset_both_lr1.0: 128 updates; A 0.00072 -> 0.74198; B 0.79419 -> 0.21974; actions=0; complete=True
pythia410m/registry/seed11/reset_both_lr2.0: 128 updates; A 0.00072 -> 0.41232; B 0.79419 -> 0.41666; actions=0; complete=True
pythia410m/registry/seed11/reset_m_lr0.25: 128 updates; A 0.00072 -> 0.68474; B 0.79419 -> 0.05206; actions=0; complete=True
pythia410m/registry/seed11/reset_m_lr1.0: 128 updates; A 0.00072 -> 0.77570; B 0.79419 -> 0.23126; actions=0; complete=True
pythia410m/registry/seed11/reset_m_lr2.0: 128 updates; A 0.00072 -> 1.09391; B 0.79419 -> 0.69691; actions=0; complete=True
pythia410m/text/seed11/loss_history: 128 updates; A 0.59801 -> 1.47201; B 7.06932 -> 1.32627; actions=16; complete=True
pythia410m/text/seed11/matched_fresh: 16 updates; A 0.59801 -> 0.87971; B 7.06932 -> 1.62485; actions=0; complete=True
pythia410m/text/seed11/matched_preserve: 16 updates; A 0.59801 -> 0.83252; B 7.06932 -> 1.53160; actions=0; complete=True
pythia410m/text/seed11/matched_reset_both: 16 updates; A 0.59801 -> 1.58122; B 7.06932 -> 1.76684; actions=0; complete=True
pythia410m/text/seed11/matched_reset_m: 16 updates; A 0.59801 -> 0.88224; B 7.06932 -> 1.47445; actions=0; complete=True
pythia410m/text/seed11/matched_reset_v: 16 updates; A 0.59801 -> 1.40424; B 7.06932 -> 1.60378; actions=0; complete=True
pythia410m/text/seed11/natural: 128 updates; A 0.59801 -> 2.90888; B 7.06932 -> 1.80488; actions=0; complete=True
pythia410m/text/seed11/preserve_lr0.25: 128 updates; A 0.59801 -> 1.13446; B 7.06932 -> 0.84336; actions=0; complete=True
pythia410m/text/seed11/preserve_lr2.0: 128 updates; A 0.59801 -> 2.76555; B 7.06932 -> 1.06326; actions=0; complete=True
pythia410m/text/seed11/projection: 128 updates; A 0.59801 -> 1.60343; B 7.06932 -> 1.16906; actions=16; complete=True
pythia410m/text/seed11/random_loss_history: 128 updates; A 0.59801 -> 2.16407; B 7.06932 -> 1.11245; actions=16; complete=True
pythia410m/text/seed11/random_projection: 128 updates; A 0.59801 -> 1.70454; B 7.06932 -> 1.23657; actions=16; complete=True
pythia410m/text/seed11/reset_both_lr0.25: 128 updates; A 0.59801 -> 1.13682; B 7.06932 -> 0.73699; actions=0; complete=True
pythia410m/text/seed11/reset_both_lr1.0: 128 updates; A 0.59801 -> 2.06070; B 7.06932 -> 0.86354; actions=0; complete=True
pythia410m/text/seed11/reset_both_lr2.0: 128 updates; A 0.59801 -> 1.02654; B 7.06932 -> 1.54279; actions=0; complete=True
pythia410m/text/seed11/reset_m_lr0.25: 128 updates; A 0.59801 -> 1.12773; B 7.06932 -> 0.79609; actions=0; complete=True
pythia410m/text/seed11/reset_m_lr1.0: 128 updates; A 0.59801 -> 1.46158; B 7.06932 -> 0.72292; actions=0; complete=True
pythia410m/text/seed11/reset_m_lr2.0: 128 updates; A 0.59801 -> 1.27356; B 7.06932 -> 0.93341; actions=0; complete=True
